symbol,scale,Sharpe,FinalEquity
ADVANC.BK,0.0,2.3679061170523092,-0.0
DELTA.BK,0.0,2.119888725559888,0.0
BH.BK,0.0,1.9931353966730363,0.0
WHA.BK,0.0,1.8235603080914333,0.0
KBANK.BK,0.0,1.7972622949808936,0.0
TRUE.BK,0.0,1.6424868927562877,-0.0
TOP.BK,0.0,1.6339096393970873,-0.0
OR.BK,0.0,1.5838903777107476,254.85010998505575
IVL.BK,0.0,1.4584178864325383,-0.0
CBG.BK,0.0,1.4126901050871858,-0.0
BCP.BK,0.0,1.3285862354504732,0.0
CPF.BK,0.0,1.15700010947437,-0.0
TCAP.BK,0.0,0.991513465006353,-0.0
TISCO.BK,0.0,0.946145850030758,0.0
KTB.BK,0.0,0.8705575939515647,0.0
BTS.BK,0.0,0.6731229625094227,0.0
PTTEP.BK,0.0,0.6298783314335472,0.0
BJC.BK,0.0,0.5470472026331252,0.0
KTC.BK,0.0,0.5244192821007649,0.0
VGI.BK,1.0,0.37107723910038715,0.0
CCET.BK,1.0,0.35239905218532513,-0.0
BBL.BK,0.0,0.3323227342933309,-0.0
BDMS.BK,0.0,0.3277429890742343,-0.0
TTB.BK,0.0,0.32007224533061723,-0.003984024981006561
KKP.BK,1.0,0.16641151095954126,-0.0
CPALL.BK,0.0,-0.0025873852802796,-0.0
LH.BK,1.0,-0.0576035708320002,0.0
CRC.BK,0.0,-0.07965875092612129,-0.0
MINT.BK,1.0,-0.27198618189877205,0.0
CPN.BK,0.0,-0.5554601194166835,-0.0
RATCH.BK,1.0,-0.5854841586567819,-0.0
GPSC.BK,1.0,-0.9032503795918875,0.0
COM7.BK,1.0,-0.9310151726169926,-0.0
PTTGC.BK,1.0,-0.933502912878209,0.0
MTC.BK,1.0,-1.006140911980096,0.0
AWC.BK,0.0,-1.0397931971131733,-0.0
HMPRO.BK,1.0,-1.4483883068103476,-0.0
OSP.BK,1.0,-1.4564932955273513,-0.0
BEM.BK,0.0,-1.4689962369168499,0.0
PTT.BK,1.0,-1.4732194250617872,0.0
BANPU.BK,1.0,-1.6471528875535981,0.0
TU.BK,0.0,-1.6802703818442974,0.0
AOT.BK,0.0,-1.800482414084342,0.0
SCC.BK,1.0,-1.8017579949583686,0.0
EGCO.BK,1.0,-2.147598453087745,-0.0
SCGP.BK,1.0,-2.8643885274788983,0.0
