symbol,task,thr,CAGR,Sharpe,MaxDD,WinRate,FinalEquity
ADVANC.BK,classification,0.0,-1.0,2.3679061170523092,-1.0,0.1925925925925926,-0.0
DELTA.BK,classification,0.0,-1.0,2.119888725559888,,0.1111111111111111,0.0
BH.BK,classification,0.0,-1.0,1.9931353966730363,-1.0,0.23333333333333334,0.0
WHA.BK,classification,0.0,-1.0,1.8235603080914333,-1.0,0.1765432098765432,0.0
KBANK.BK,classification,0.0,-1.0,1.7972622949808936,-1.0,0.20123456790123456,0.0
TRUE.BK,classification,0.0,-1.0,1.6424868927562877,-1.0,0.12098765432098765,-0.0
TOP.BK,classification,0.0,-1.0,1.6339096393970873,-1.001,0.24444444444444444,-0.0
OR.BK,classification,0.0,4.605597950046692,1.5838903777107476,-0.0010000000000000009,0.009876543209876543,254.85010998505575
IVL.BK,classification,0.0,-1.0,1.4584178864325383,-1.0,0.11234567901234568,-0.0
CBG.BK,classification,0.0,-1.0,1.4126901050871858,-1.000999,0.2419753086419753,-0.0
BCP.BK,classification,0.0,-1.0,1.3285862354504732,-1.000999,0.0962962962962963,0.0
CPF.BK,classification,0.0,-1.0,1.15700010947437,-1.007988003999999,0.09012345679012346,-0.0
TCAP.BK,classification,0.0,-1.0,0.991513465006353,-1.001,0.05308641975308642,-0.0
TISCO.BK,classification,0.0,-1.0,0.946145850030758,-1.0,0.25308641975308643,0.0
KTB.BK,classification,0.0,-1.0,0.8705575939515647,-1.127616415808018,0.22962962962962963,0.0
BTS.BK,classification,0.0,-1.0,0.6731229625094227,-1.0,0.07901234567901234,0.0
PTTEP.BK,classification,0.0,-1.0,0.6298783314335472,-1.000999,0.11728395061728394,0.0
BJC.BK,classification,0.0,-1.0,0.5470472026331252,-1.0019950039989998,0.04567901234567901,0.0
KTC.BK,classification,0.0,-1.0,0.5244192821007649,-1.001,0.04938271604938271,0.0
VGI.BK,classification,0.0,-1.0,0.37107723910038715,-1.001,0.14320987654320988,0.0
CCET.BK,classification,0.0,-1.0,0.35239905218532513,-1.0039959999999997,0.10246913580246914,-0.0
BBL.BK,classification,0.0,-1.0,0.3323227342933309,-1.0,0.21481481481481482,-0.0
BDMS.BK,classification,0.0,-1.0,0.3277429890742343,-1.000999,0.04691358024691358,-0.0
TTB.BK,classification,0.0,,0.32007224533061723,-1.0039880129940006,0.0024691358024691358,-0.003984024981006561
KKP.BK,classification,0.0,-1.0,0.16641151095954126,-1.0,0.10864197530864197,-0.0
CPALL.BK,classification,0.0,-1.0,-0.0025873852802796,-1.000999,0.05802469135802469,-0.0
LH.BK,classification,0.0,-1.0,-0.0576035708320002,-1.0,0.24074074074074073,0.0
CRC.BK,classification,0.0,-1.0,-0.07965875092612129,-1.001,0.12345679012345678,-0.0
MINT.BK,classification,0.0,-1.0,-0.27198618189877205,-1.000999,0.20864197530864198,0.0
CPN.BK,classification,0.0,-1.0,-0.5554601194166835,-1.001,0.13209876543209875,-0.0
RATCH.BK,classification,0.0,-1.0,-0.5854841586567819,-1.000999,0.011111111111111112,-0.0
GPSC.BK,classification,0.0,-1.0,-0.9032503795918875,-1.001,0.25308641975308643,0.0
COM7.BK,classification,0.0,-1.0,-0.9310151726169926,-1.0,0.3148148148148148,-0.0
PTTGC.BK,classification,0.0,-1.0,-0.933502912878209,-1.001,0.38271604938271603,0.0
MTC.BK,classification,0.0,-1.0,-1.006140911980096,,0.3111111111111111,0.0
AWC.BK,classification,0.0,-1.0,-1.0397931971131733,-1.0,0.18518518518518517,-0.0
HMPRO.BK,classification,0.0,-1.0,-1.4483883068103476,-1.001,0.2271604938271605,-0.0
OSP.BK,classification,0.0,-1.0,-1.4564932955273513,-1.001,0.4160493827160494,-0.0
BEM.BK,classification,0.0,-1.0,-1.4689962369168499,-1.0039999999999996,0.05308641975308642,0.0
PTT.BK,classification,0.0,-1.0,-1.4732194250617872,-1.0039999999999996,0.3592592592592593,0.0
BANPU.BK,classification,0.0,-1.0,-1.6471528875535981,,0.19012345679012346,0.0
TU.BK,classification,0.0,-1.0,-1.6802703818442974,-1.000999,0.2679012345679012,0.0
AOT.BK,classification,0.0,-1.0,-1.800482414084342,-1.001,0.05555555555555555,0.0
SCC.BK,classification,0.0,-1.0,-1.8017579949583686,-1.001,0.2506172839506173,0.0
EGCO.BK,classification,0.0,-1.0,-2.147598453087745,-1.001,0.1925925925925926,-0.0
SCGP.BK,classification,0.0,-1.0,-2.8643885274788983,-1.0,0.32222222222222224,0.0
