symbol,rows,has_date,has_future_colname,has_dup_rows,mean_null_rate
ADVANC.BK,810,False,False,False,0.0
AOT.BK,810,False,False,False,0.0
AWC.BK,810,False,False,False,0.0
BANPU.BK,810,False,False,False,0.0
BBL.BK,810,False,False,False,0.0
BCP.BK,810,False,False,False,0.0
BDMS.BK,810,False,False,False,0.0
BEM.BK,810,False,False,False,0.0
BH.BK,810,False,False,False,0.0
BJC.BK,810,False,False,False,0.0
BTS.BK,810,False,False,False,0.0
CBG.BK,810,False,False,False,0.0
CCET.BK,810,False,False,False,0.0
COM7.BK,810,False,False,False,0.0
CPALL.BK,810,False,False,False,0.0
CPF.BK,810,False,False,False,0.0
CPN.BK,810,False,False,False,0.0
CRC.BK,810,False,False,False,0.0
DELTA.BK,810,False,False,False,0.0
EGCO.BK,810,False,False,False,0.0
GPSC.BK,810,False,False,False,0.0
HMPRO.BK,810,False,False,False,0.0
IVL.BK,810,False,False,False,0.0
KBANK.BK,810,False,False,False,0.0
KKP.BK,810,False,False,False,0.0
KTB.BK,810,False,False,False,0.0
KTC.BK,810,False,False,False,0.0
LH.BK,810,False,False,False,0.0
MINT.BK,810,False,False,False,0.0
MTC.BK,810,False,False,False,0.0
OR.BK,810,False,False,False,0.0
OSP.BK,810,False,False,False,0.0
PTT.BK,810,False,False,True,0.0
PTTEP.BK,810,False,False,False,0.0
PTTGC.BK,810,False,False,False,0.0
RATCH.BK,810,False,False,False,0.0
SCC.BK,810,False,False,False,0.0
SCGP.BK,810,False,False,True,0.0
TCAP.BK,810,False,False,False,0.0
TISCO.BK,810,False,False,False,0.0
TOP.BK,810,False,False,False,0.0
TRUE.BK,810,False,False,False,0.0
TTB.BK,810,False,False,False,0.0
TU.BK,810,False,False,False,0.0
VGI.BK,810,False,False,False,0.0
WHA.BK,810,False,False,False,0.0
