ticker,prob_up,signal,note
ADVANC.BK,0.330533,SELL/FLAT,
AOT.BK,0.451446,SELL/FLAT,
AWC.BK,0.926444,BUY,
BANPU.BK,0.525255,BUY,
BBL.BK,0.306806,SELL/FLAT,
BCP.BK,0.425211,SELL/FLAT,
BDMS.BK,0.514031,BUY,
BEM.BK,0.512799,BUY,
BH.BK,0.850744,BUY,
BJC.BK,0.445734,SELL/FLAT,
BTS.BK,0.473582,SELL/FLAT,
CBG.BK,0.096218,SELL/FLAT,
CCET.BK,0.108293,SELL/FLAT,
COM7.BK,0.524588,BUY,
CPALL.BK,0.513461,BUY,
CPF.BK,0.468307,SELL/FLAT,
CPN.BK,0.467077,SELL/FLAT,
CRC.BK,0.590792,BUY,
DELTA.BK,0.002289,SELL/FLAT,
EGCO.BK,0.514628,BUY,
GPSC.BK,0.89273,BUY,
HMPRO.BK,0.563118,BUY,
IVL.BK,0.515106,BUY,
KBANK.BK,0.250053,SELL/FLAT,
KKP.BK,0.532881,BUY,
KTB.BK,0.285058,SELL/FLAT,
KTC.BK,0.517118,BUY,
LH.BK,0.318947,SELL/FLAT,
MINT.BK,0.417707,SELL/FLAT,
MTC.BK,0.948126,BUY,
OR.BK,0.280318,SELL/FLAT,
OSP.BK,0.991363,BUY,
PTT.BK,0.984117,BUY,
PTTEP.BK,0.263867,SELL/FLAT,
PTTGC.BK,0.961041,BUY,
RATCH.BK,0.42417,SELL/FLAT,
SCC.BK,0.359359,SELL/FLAT,
SCGP.BK,0.54764,BUY,
TCAP.BK,0.449886,SELL/FLAT,
TISCO.BK,0.467095,SELL/FLAT,
TOP.BK,0.991967,BUY,
TRUE.BK,0.389719,SELL/FLAT,
TTB.BK,0.426892,SELL/FLAT,
TU.BK,0.276444,SELL/FLAT,
VGI.BK,0.482208,SELL/FLAT,
WHA.BK,0.895499,BUY,
