symbol,Sharpe,CAGR,FinalEquity
ADVANC.BK,2.3679061170523092,-1.0,-0.0
DELTA.BK,2.119888725559888,-1.0,0.0
BH.BK,1.9931353966730363,-1.0,0.0
WHA.BK,1.8235603080914333,-1.0,0.0
KBANK.BK,1.7972622949808936,-1.0,0.0
TRUE.BK,1.6424868927562877,-1.0,-0.0
TOP.BK,1.6339096393970873,-1.0,-0.0
OR.BK,1.5838903777107476,4.605597950046692,254.85010998505575
IVL.BK,1.4584178864325383,-1.0,-0.0
CBG.BK,1.4126901050871858,-1.0,-0.0
BCP.BK,1.3285862354504732,-1.0,0.0
CPF.BK,1.15700010947437,-1.0,-0.0
TCAP.BK,0.991513465006353,-1.0,-0.0
TISCO.BK,0.946145850030758,-1.0,0.0
KTB.BK,0.8705575939515647,-1.0,0.0
BTS.BK,0.6731229625094227,-1.0,0.0
PTTEP.BK,0.6298783314335472,-1.0,0.0
BJC.BK,0.5470472026331252,-1.0,0.0
KTC.BK,0.5244192821007649,-1.0,0.0
VGI.BK,0.37107723910038715,-1.0,0.0
CCET.BK,0.35239905218532513,-1.0,-0.0
BBL.BK,0.3323227342933309,-1.0,-0.0
BDMS.BK,0.3277429890742343,-1.0,-0.0
TTB.BK,0.32007224533061723,,-0.003984024981006561
KKP.BK,0.16641151095954126,-1.0,-0.0
CPALL.BK,-0.0025873852802796,-1.0,-0.0
LH.BK,-0.0576035708320002,-1.0,0.0
CRC.BK,-0.07965875092612129,-1.0,-0.0
MINT.BK,-0.27198618189877205,-1.0,0.0
CPN.BK,-0.5554601194166835,-1.0,-0.0
RATCH.BK,-0.5854841586567819,-1.0,-0.0
GPSC.BK,-0.9032503795918875,-1.0,0.0
COM7.BK,-0.9310151726169926,-1.0,-0.0
PTTGC.BK,-0.933502912878209,-1.0,0.0
MTC.BK,-1.006140911980096,-1.0,0.0
AWC.BK,-1.0397931971131733,-1.0,-0.0
HMPRO.BK,-1.4483883068103476,-1.0,-0.0
OSP.BK,-1.4564932955273513,-1.0,-0.0
BEM.BK,-1.4689962369168499,-1.0,0.0
PTT.BK,-1.4732194250617872,-1.0,0.0
BANPU.BK,-1.6471528875535981,-1.0,0.0
TU.BK,-1.6802703818442974,-1.0,0.0
AOT.BK,-1.800482414084342,-1.0,0.0
SCC.BK,-1.8017579949583686,-1.0,0.0
EGCO.BK,-2.147598453087745,-1.0,-0.0
SCGP.BK,-2.8643885274788983,-1.0,0.0
