symbol,Sharpe_WF,FinalEquity_WF
ADVANC.BK,3.0519786446951027,0.0
DELTA.BK,2.321551693643555,-0.0
WHA.BK,1.7824221856019193,-0.0
TOP.BK,1.4883268427159144,-0.0
TRUE.BK,1.2773215725284404,0.0
KBANK.BK,1.1007027541003338,0.0
TCAP.BK,0.9577291624989548,-0.0
IVL.BK,0.9297047233730885,-0.0
CBG.BK,0.9076034691377277,-0.0
CPF.BK,0.8227766296484396,-0.0
TISCO.BK,0.8207197173101036,0.0
BCP.BK,0.7298261184805436,0.0
KTB.BK,0.6523952817255997,0.0
VGI.BK,0.6303720694354988,-0.0
KTC.BK,0.5242291689733939,-0.0
BJC.BK,0.4819935329790262,-0.0
BH.BK,0.39652534802209266,-0.0
BDMS.BK,0.3275967383122478,0.0
TTB.BK,0.32007224533061723,-0.003984024981006561
BTS.BK,0.22181302218482535,0.0
COM7.BK,0.0,1.0
GPSC.BK,0.0,1.0
HMPRO.BK,0.0,1.0
OR.BK,0.0,1.0
OSP.BK,0.0,1.0
PTT.BK,0.0,1.0
PTTGC.BK,0.0,1.0
RATCH.BK,0.0,1.0
SCGP.BK,0.0,1.0
PTTEP.BK,-0.20580224810331865,0.0
BBL.BK,-0.2705389744017957,-0.0
CCET.BK,-0.5289633978988085,0.0
CPN.BK,-0.5463115665167974,-0.0
KKP.BK,-0.5964493171999482,-0.0
BEM.BK,-0.6404744321150744,-0.0
TU.BK,-0.6446957705031238,0.0
MINT.BK,-0.9010650995698138,-0.0
CRC.BK,-0.9187223003302217,-0.0
MTC.BK,-1.220971549798345,0.0
AOT.BK,-1.239502542986576,0.0
CPALL.BK,-1.3606191093683164,0.0
EGCO.BK,-1.6179089202710943,-0.0
SCC.BK,-1.7560243891902478,0.0
LH.BK,-1.824148315997636,-0.0
AWC.BK,-1.878927631045698,-0.0
BANPU.BK,-2.0549739608877906,-0.0
